idx,feature,sym,code,category
605,dpq073,dpq,073,Meal & Healthy - Meal Essentials
606,dpq074,dpq,074,Overseas Travel - Accommodation
607,dpq075,dpq,075,Overseas Travel - Air/Transportation
608,dpq076,dpq,076,Overseas Travel - Car Rental
609,dpq077,dpq,077,Overseas Travel - Package
610,dpq078,dpq,078,Overseas Travel - Ticket/Pass
611,dpq079,dpq,079,Personal Care - Adult Goods
612,dpq080,dpq,080,Personal Care - Body Care
613,dpq081,dpq,081,Personal Care - Digital Scale
614,dpq082,dpq,082,Personal Care - Electric Toothbrush
615,dpq083,dpq,083,Personal Care - Hair Care
616,dpq084,dpq,084,Personal Care - Health Care
617,dpq085,dpq,085,Personal Care - Hygienic Care
618,dpq086,dpq,086,Personal Care - Oral Care
619,dpq087,dpq,087,Pet - Cat Food
620,dpq088,dpq,088,Pet - Cat Supply
621,dpq089,dpq,089,Pet - Dog Food
622,dpq090,dpq,090,Pet - Dog Supply
623,dpq091,dpq,091,Pet - Small Animals
624,dpq092,dpq,092,Shoes - Fashion Shoes
625,dpq093,dpq,093,Shoes - Sports Shoes
626,dpq094,dpq,094,"Snacks, Coffee & Tea - Coffee & Tea"
627,dpq095,dpq,095,"Snacks, Coffee & Tea - Snacks"
628,dpq096,dpq,096,Sporting Goods - Exercise & Fitness
629,dpq097,dpq,097,Sporting Goods - Outdoor & Camping
630,dpq098,dpq,098,Sporting Goods - Sports Equipment
631,dpq099,dpq,099,Stationery - Arts & Hobbies
632,dpq100,dpq,100,Stationery - Novelty
633,dpq101,dpq,101,Stationery - Office Supplies
634,dpq102,dpq,102,Toys - Baby Toys
635,dpq103,dpq,103,Toys - Kids Toys
636,dpq104,dpq,104,Toys - Kidult Toys
637,dpq105,dpq,105,all
638,dpq106,dpq,106,null
639,dsl001,dsl,001,Accessory - Bag
640,dsl002,dsl,002,Accessory - Other Accessory
641,dsl003,dsl,003,Accessory - Suitcase
642,dsl004,dsl,004,Accessory - Watch & Jewely & Glasses
643,dsl005,dsl,005,Apparel - Baby Fashion
644,dsl006,dsl,006,Apparel - Casual Clothes
645,dsl007,dsl,007,Apparel - Men Clothes
646,dsl008,dsl,008,Apparel - Sports Clothes
647,dsl009,dsl,009,Apparel - Underwear & Homewear
648,dsl010,dsl,010,Apparel - Women Clothes
649,dsl011,dsl,011,Baby Convenience - Baby Home
650,dsl012,dsl,012,Baby Convenience - Feeding Accessories
651,dsl013,dsl,013,Baby Convenience - Nursery & Safety
